Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Sh,SoT,SoT%,PK,PKatt,CrdY,CrdR,Fls,Crs,OG,2CrdY,performance_index
Josh Cullen,ie IRL,MF,Burnley,eng Premier League,29.0,1996.0,18,18,1514,16.8,11,6,54.5,0,0,2,0,16,12,1,0,0.28411256018891307
Matheus Cunha,br BRA,"MF,FW",Manchester Utd,eng Premier League,26.0,1999.0,25,21,1808,20.1,65,26,40.0,0,0,1,0,16,31,0,0,0.7659496624142043
Lucas Da Cunha,fr FRA,MF,Como,it Serie A,24.0,2001.0,25,21,1854,20.6,24,9,37.5,2,2,4,0,24,58,0,0,-0.1092269364899162
Adam Daghim,dk DEN,MF,Wolfsburg,de Bundesliga,20.0,2005.0,18,9,1002,11.1,17,5,29.4,0,0,1,0,14,13,0,0,-0.0766862180729289
Diogo Dalot,pt POR,"MF,DF",Manchester Utd,eng Premier League,26.0,1999.0,26,23,2023,22.5,18,5,27.8,0,0,5,0,19,46,0,0,-0.006891993901509138
Mikkel Damsgaard,dk DEN,MF,Brentford,eng Premier League,25.0,2000.0,24,16,1414,15.7,19,9,47.4,0,0,0,0,13,82,0,0,0.4544926910193715
Arnaut Danjuma,nl NED,"MF,FW",Valencia,es La Liga,29.0,1997.0,24,17,1480,16.4,32,13,40.6,0,1,0,0,19,37,0,0,-0.10206956937152707
Kévin Danois,fr FRA,MF,Auxerre,fr Ligue 1,21.0,2004.0,23,22,1934,21.5,20,6,30.0,0,0,3,0,21,89,0,0,0.143375231547782
Sergi Darder,es ESP,MF,Mallorca,es La Liga,32.0,1993.0,26,21,1837,20.4,27,8,29.6,0,0,3,0,15,123,0,0,-0.16250105086550312
Jonathan David,ca CAN,FW,Juventus,it Serie A,26.0,2000.0,26,15,1374,15.3,33,15,45.5,0,1,0,0,22,8,0,0,0.3108661939290588
Keinan Davis,eng ENG,FW,Udinese,it Serie A,28.0,1998.0,22,20,1493,16.6,37,15,40.5,3,3,4,0,31,3,0,0,0.3219290555709585
Maxim De Cuyper,be BEL,"DF,MF",Brighton,eng Premier League,25.0,2000.0,23,14,1137,12.6,11,6,54.5,0,0,2,0,14,57,0,0,-0.24380151149293447
Charles De Ketelaere,be BEL,"MF,FW",Atalanta,it Serie A,24.0,2001.0,21,18,1540,17.1,35,14,40.0,0,0,2,0,16,36,0,0,0.0396586895257787
Koni De Winter,be BEL,DF,Milan,it Serie A,23.0,2002.0,19,13,1278,14.2,6,1,16.7,0,0,1,0,20,4,0,0,-0.4438248242245095
Alessandro Deiola,it ITA,"MF,DF",Cagliari,it Serie A,30.0,1995.0,12,11,958,10.6,6,3,50.0,0,0,3,0,17,1,0,0,-0.4505000858165594
Romain Del Castillo,fr FRA,"MF,FW",Brest,fr Ligue 1,29.0,1996.0,22,22,1800,20.0,22,10,45.5,6,8,1,1,23,148,0,0,0.5044649898814199
Enrico Del Prato,it ITA,DF,Parma,it Serie A,26.0,1999.0,26,25,2168,24.1,15,7,46.7,0,0,4,0,15,10,0,0,-0.31424462846955653
Jessy Deminguet,fr FRA,MF,Metz,fr Ligue 1,28.0,1998.0,22,17,1311,14.6,8,3,37.5,0,0,4,0,17,14,0,0,-0.32322857465186383
Ermedin Demirović,ba BIH,FW,Stuttgart,de Bundesliga,27.0,1998.0,15,12,997,11.1,24,13,54.2,1,1,4,0,22,0,0,0,0.39645423693803566
Sepp van den Berg,nl NED,DF,Brentford,eng Premier League,24.0,2001.0,23,22,2034,22.6,17,5,29.4,0,0,1,0,10,0,0,0,-0.5937193089897124
Leander Dendoncker,be BEL,MF,Oviedo,es La Liga,30.0,1995.0,19,15,1330,14.8,9,4,44.4,0,0,2,0,12,5,0,0,-0.36437431316270713
Kiernan Dewsbury-Hall,eng ENG,MF,Everton,eng Premier League,27.0,1998.0,21,20,1737,19.3,23,7,30.4,0,0,6,0,24,88,0,0,0.49043651468713695
Giovanni Di Lorenzo,it ITA,"DF,MF",Napoli,it Serie A,32.0,1993.0,23,23,2009,22.3,23,8,34.8,0,0,1,0,31,34,0,0,-0.1526787369031037
Amad Diallo,ci CIV,MF,Manchester Utd,eng Premier League,23.0,2002.0,22,20,1723,19.1,38,15,39.5,0,0,2,0,18,39,0,0,0.18711454132028557
Habib Diallo,sn SEN,FW,Metz,fr Ligue 1,30.0,1995.0,17,16,1462,16.2,33,12,36.4,0,1,0,0,23,3,0,0,-0.18581996187799213
Rúben Dias,pt POR,DF,Manchester City,eng Premier League,28.0,1997.0,24,22,1961,21.8,10,4,40.0,0,0,3,0,14,8,0,0,-0.28595710770164784
Luis Díaz,co COL,MF,Bayern Munich,de Bundesliga,29.0,1997.0,23,21,1927,21.4,66,31,47.0,0,0,5,0,23,38,0,0,1.703877056125177
Pedro Díaz,es ESP,"MF,FW",Rayo Vallecano,es La Liga,27.0,1998.0,22,13,1169,13.0,26,5,19.2,0,0,1,0,9,29,0,0,-0.7584649157622874
Lucas Digne,fr FRA,DF,Aston Villa,eng Premier League,32.0,1993.0,24,16,1386,15.4,10,5,50.0,0,0,3,0,11,77,0,0,-0.2804775274872787
Kevin Diks,id IDN,DF,Gladbach,de Bundesliga,29.0,1996.0,21,20,1772,19.7,18,10,55.6,4,4,5,0,12,4,0,0,-0.06010852184067935
Federico Dimarco,it ITA,MF,Inter,it Serie A,28.0,1997.0,25,21,1985,22.1,49,18,36.7,0,0,2,0,29,225,0,0,1.4961421418085918
Sinaly Diomande,ci CIV,DF,Auxerre,fr Ligue 1,24.0,2001.0,14,14,1231,13.7,4,1,25.0,0,0,3,1,17,0,0,1,-0.04199683073006333
Yan Diomandé,ci CIV,"FW,MF",RB Leipzig,de Bundesliga,19.0,2006.0,23,18,1627,18.1,38,20,52.6,0,0,2,0,11,26,0,0,0.9997498354716148
Sofiane Diop,ma MAR,"MF,FW",Nice,fr Ligue 1,25.0,2000.0,23,19,1533,17.0,42,13,31.0,2,2,5,0,19,24,0,0,0.4467752232672373
